Year,Round,Team,Score,Margin,Rainfall(mm),,,
2018,R17,Brisbane Lions,98,33,0,,,
2018,R18,Brisbane Lions,88,-5,0,,,
2018,R19,Brisbane Lions,78,-42,0,,,
2018,R2,Brisbane Lions,74,-26,0.4,,,
2018,R20,Brisbane Lions,104,-3,0,,,
2018,R21,Brisbane Lions,73,-31,10.2,,,
2018,R22,Brisbane Lions,78,4,0,,,
2018,R23,Brisbane Lions,72,-26,11.2,,,
2018,R3,Brisbane Lions,92,-5,0,,,
2018,R4,Brisbane Lions,17,-93,1.4,,,
2018,R5,Brisbane Lions,71,-5,0.2,,,
2018,R6,Brisbane Lions,43,-34,6,,,
2018,R7,Brisbane Lions,114,-7,0,,,
2018,R8,Brisbane Lions,93,-14,8.4,,,
2018,R9,Brisbane Lions,129,56,0,,,
2017,R1,Brisbane Lions,98,2,6.6,,,
2017,R10,Brisbane Lions,84,-45,8,,,
2017,R12,Brisbane Lions,121,57,0,,,
2017,R13,Brisbane Lions,81,-40,0.8,,,
2017,R14,Brisbane Lions,86,-60,0,,,
2017,R15,Brisbane Lions,90,8,0,,,
2017,R16,Brisbane Lions,78,-85,7,,,
2017,R17,Brisbane Lions,81,-31,0.1,,,
2017,R18,Brisbane Lions,112,30,0,,,
2017,R19,Brisbane Lions,45,-68,6.4,,,
2017,R2,Brisbane Lions,84,-27,0.2,,,
2017,R20,Brisbane Lions,89,-14,0,,,
2017,R21,Brisbane Lions,142,58,0,,,
2017,R22,Brisbane Lions,91,-13,1.8,,,
2017,R23,Brisbane Lions,79,-51,0,,,
2017,R3,Brisbane Lions,76,-31,14.2,,,
2017,R4,Brisbane Lions,67,-52,0,,,
2017,R5,Brisbane Lions,90,-32,5.5,,,
2017,R6,Brisbane Lions,67,-83,0,,,
2017,R7,Brisbane Lions,81,-54,1.2,,,
2017,R8,Brisbane Lions,75,-38,7.2,,,
2017,R9,Brisbane Lions,60,-80,3,,,
2016,R1,Brisbane Lions,102,-64,6.6,,,
2016,R10,Brisbane Lions,87,-48,0,,,
2016,R11,Brisbane Lions,64,-38,7,,,
2016,R12,Brisbane Lions,64,-83,0,,,
2016,R13,Brisbane Lions,82,-49,0,,,
2016,R14,Brisbane Lions,75,-42,3,,,
2016,R16,Brisbane Lions,113,-26,0,,,
2016,R17,Brisbane Lions,67,-79,12.6,,,
2016,R18,Brisbane Lions,128,37,1.2,,,
2016,R19,Brisbane Lions,79,-94,0,,,
2016,R2,Brisbane Lions,83,-34,0,,,
2016,R20,Brisbane Lions,39,-138,0,,,
2016,R21,Brisbane Lions,99,4,0,,,
2016,R22,Brisbane Lions,69,-60,4.4,,,
2016,R23,Brisbane Lions,103,-58,0,,,
2016,R3,Brisbane Lions,56,-69,0,,,
2016,R4,Brisbane Lions,107,13,0.4,,,
2016,R5,Brisbane Lions,67,-53,0,,,
2016,R6,Brisbane Lions,94,-3,1.4,,,
2016,R7,Brisbane Lions,59,-77,0.4,,,
2016,R8,Brisbane Lions,65,-78,0,,,
2016,R9,Brisbane Lions,68,-63,0,,,
2015,R1,Brisbane Lions,74,-12,0.4,,,
2015,R10,Brisbane Lions,67,-30,0,,,
2015,R12,Brisbane Lions,74,-72,0,,,
2015,R13,Brisbane Lions,69,-13,0,,,
2015,R14,Brisbane Lions,48,-36,1.8,,,
2015,R15,Brisbane Lions,49,-21,0.6,,,
2015,R16,Brisbane Lions,36,-24,0,,,
2015,R17,Brisbane Lions,38,-72,0,,,
2015,R18,Brisbane Lions,57,-56,0,,,
2015,R19,Brisbane Lions,100,-14,0,,,
2015,R2,Brisbane Lions,51,-82,0,,,
2015,R20,Brisbane Lions,131,64,0,,,
2015,R21,Brisbane Lions,44,-87,0.6,,,
2015,R22,Brisbane Lions,62,-72,1.8,,,
2015,R23,Brisbane Lions,130,8,0,,,
2015,R3,Brisbane Lions,58,-79,3.4,,,
2015,R4,Brisbane Lions,65,-53,0,,,
2015,R5,Brisbane Lions,54,-64,83.6,,,
2015,R6,Brisbane Lions,84,9,10.6,,,
2015,R7,Brisbane Lions,102,37,1,,,
2015,R8,Brisbane Lions,78,-58,0,,,
2015,R9,Brisbane Lions,86,-22,0,,,
2014,R1,Brisbane Lions,91,-48,27.2,,,
2014,R11,Brisbane Lions,98,7,0.6,,,
2014,R12,Brisbane Lions,95,8,0.6,,,
2014,R13,Brisbane Lions,80,-45,0.8,,,
2014,R14,Brisbane Lions,22,-83,0.2,,,
2014,R15,Brisbane Lions,70,4,0,,,
2014,R16,Brisbane Lions,54,-25,0.2,,,
2014,R17,Brisbane Lions,64,-12,0,,,
2014,R18,Brisbane Lions,110,54,0,,,
2014,R19,Brisbane Lions,74,23,0,,,
2014,R2,Brisbane Lions,68,-25,0.8,,,
2014,R20,Brisbane Lions,63,-105,0,,,
2014,R21,Brisbane Lions,123,67,0.6,,,
2014,R22,Brisbane Lions,48,-58,6,,,
2014,R23,Brisbane Lions,81,-62,0,,,
2014,R3,Brisbane Lions,61,-53,0,,,
2014,R4,Brisbane Lions,46,-113,0,,,
2014,R5,Brisbane Lions,63,-43,0,,,
2014,R6,Brisbane Lions,82,3,,,,
2014,R7,Brisbane Lions,44,-79,13.8,,,
2014,R8,Brisbane Lions,57,-8,0,,,
2014,R9,Brisbane Lions,38,-87,0,,,
2013,R1,Brisbane Lions,59,-68,0,,,
2013,R10,Brisbane Lions,51,-49,17.4,,,
2013,R12,Brisbane Lions,46,-40,0,,,
2013,R13,Brisbane Lions,103,5,0,,,
2013,R14,Brisbane Lions,85,-58,1.6,,,
2013,R15,Brisbane Lions,116,33,0,,,
2013,R16,Brisbane Lions,117,12,0,,,
2013,R17,Brisbane Lions,94,19,0,,,
2013,R18,Brisbane Lions,62,-9,0.6,,,
2013,R19,Brisbane Lions,108,31,0,,,
2013,R2,Brisbane Lions,77,-19,2,,,
2013,R20,Brisbane Lions,74,-23,0.2,,,
2013,R21,Brisbane Lions,123,60,0,,,
2013,R22,Brisbane Lions,100,7,0,,,
2013,R23,Brisbane Lions,111,-1,4,,,
2013,R3,Brisbane Lions,94,2,30,,,
2013,R4,Brisbane Lions,62,-63,0,,,
2013,R5,Brisbane Lions,122,28,0,,,
2013,R6,Brisbane Lions,55,-60,0,,,
2013,R7,Brisbane Lions,82,-26,0.8,,,
2013,R8,Brisbane Lions,96,10,0.2,,,
2013,R9,Brisbane Lions,85,-13,1,,,
2012,R1,Brisbane Lions,119,41,0.6,,,
2012,R10,Brisbane Lions,102,2,26.4,,,
2012,R12,Brisbane Lions,70,-65,1,,,
2012,R13,Brisbane Lions,114,58,3.2,,,
2012,R14,Brisbane Lions,122,61,0,,,
2012,R15,Brisbane Lions,63,-47,2.8,,,
2012,R16,Brisbane Lions,92,-13,12,,,
2012,R17,Brisbane Lions,59,11,0,,,
2012,R18,Brisbane Lions,77,-98,0,,,
2012,R19,Brisbane Lions,84,-48,0,,,
2012,R2,Brisbane Lions,63,-91,0,,,
2012,R20,Brisbane Lions,77,-36,3,,,
2012,R21,Brisbane Lions,95,10,0,,,
2012,R22,Brisbane Lions,104,11,2.2,,,
2012,R23,Brisbane Lions,128,67,0,,,
2012,R3,Brisbane Lions,35,-29,0,,,
2012,R4,Brisbane Lions,111,65,0,,,
2012,R5,Brisbane Lions,41,-38,38.4,,,
2012,R6,Brisbane Lions,62,-67,0,,,
2012,R7,Brisbane Lions,58,-58,0,,,
2012,R8,Brisbane Lions,132,92,0,,,
2012,R9,Brisbane Lions,96,-16,4.6,,,
2020,R1,Carlton,81,-24,0,,,
2020,R11,Carlton,50,-22,4.4,,,
2020,R12,Carlton,40,4,0.6,,,
2020,R13,Carlton,60,33,0,,,
2020,R14,Carlton,48,-24,0,,,
2020,R15,Carlton,39,-9,0,,,
2020,R16,Carlton,57,5,0,,,
2020,R17,Carlton,56,-16,7.8,,,
2020,R18,Carlton,61,-17,0.4,,,
2020,R2,Carlton,53,-1,0,,,
2020,R3,Carlton,79,2,1.2,,,
2020,R4,Carlton,52,1,0,,,
2020,R5,Carlton,55,-18,1.2,,,
2020,R6,Carlton,103,52,0,,,
2020,R7,Carlton,61,-3,0,,,
2020,R8,Carlton,64,7,3.2,,,
2020,R9,Carlton,58,-31,0,,,
2019,R1,Carlton,64,-33,0,,,
2019,R10,Carlton,55,-13,8,,,
2019,R11,Carlton,33,-41,0.2,,,
2019,R12,Carlton,78,15,0.1,,,
2019,R13,Carlton,100,-3,3.6,,,
2019,R15,Carlton,79,4,0.4,,,
2019,R16,Carlton,100,-5,0,,,
2019,R17,Carlton,69,7,0,,,
2019,R18,Carlton,99,24,0,,,
2019,R19,Carlton,87,27,8,,,
2019,R2,Carlton,72,-16,1.8,,,
2019,R20,Carlton,75,-24,1.2,,,
2019,R21,Carlton,45,-28,6.8,,,
2019,R22,Carlton,78,10,4,,,
2019,R23,Carlton,61,-68,0,,,
2019,R3,Carlton,74,-19,0,,,
2019,R4,Carlton,57,-2,0.2,,,
2019,R5,Carlton,101,44,0,,,
2019,R6,Carlton,88,-5,0,,,
2019,R7,Carlton,62,-58,2.2,,,
2019,R8,Carlton,87,-19,9.8,,,
2019,R9,Carlton,45,-93,0,,,
2018,R1,Carlton,95,-26,0,,,
2018,R10,Carlton,45,-28,0,,,
2018,R11,Carlton,61,-30,0.8,,,
2018,R13,Carlton,46,-57,2.2,,,
2018,R14,Carlton,59,-20,0,,,
2018,R15,Carlton,69,-21,1.2,,,
2018,R16,Carlton,55,-65,2.6,,,
2018,R17,Carlton,52,-64,0,,,
2018,R18,Carlton,52,-72,0,,,
2018,R19,Carlton,79,35,0,,,
2018,R2,Carlton,67,-34,0,,,
2018,R20,Carlton,46,-105,0.2,,,
2018,R21,Carlton,72,-29,0,,,
2018,R22,Carlton,49,-17,10.8,,,
2018,R23,Carlton,61,-104,0,,,
2018,R3,Carlton,76,-24,0,,,
2018,R4,Carlton,30,-86,0.6,,,
2018,R5,Carlton,69,-10,0,,,
2018,R6,Carlton,59,-21,0,,,
2018,R7,Carlton,70,-55,0.2,,,
2018,R8,Carlton,91,13,8.4,,,
2018,R9,Carlton,50,-109,0.2,,,
2017,R1,Carlton,89,-43,0,,,
2017,R10,Carlton,96,-17,8,,,
2017,R12,Carlton,71,1,0,,,
2017,R13,Carlton,83,10,1.8,,,
2017,R14,Carlton,58,-26,0.2,,,
2017,R15,Carlton,77,-12,0.2,,,
2017,R16,Carlton,82,-8,1,,,
2017,R17,Carlton,62,-20,0.1,,,
2017,R18,Carlton,82,-30,0,,,
2017,R19,Carlton,58,-65,1,,,
2017,R2,Carlton,64,-22,0.2,,,
2017,R20,Carlton,76,-8,0,,,
2017,R21,Carlton,83,-17,19.8,,,
2017,R22,Carlton,77,7,7,,,
2017,R23,Carlton,57,-81,0,,,
2017,R3,Carlton,57,15,14.2,,,
2017,R4,Carlton,82,-26,0,,,
2017,R5,Carlton,47,-90,12.4,,,
2017,R6,Carlton,97,19,0,,,
2017,R7,Carlton,79,23,0,,,
2017,R8,Carlton,66,-19,0,,,
2017,R9,Carlton,51,-35,17.2,,,
2016,R1,Carlton,83,-9,0,,,
2016,R10,Carlton,104,19,3.4,,,
2016,R11,Carlton,102,38,7,,,
2016,R12,Carlton,78,-32,0.8,,,
2016,R14,Carlton,65,-62,0.6,,,
2016,R15,Carlton,45,-12,0.8,,,
2016,R16,Carlton,47,-60,0.2,,,
2016,R17,Carlton,75,-7,0,,,
2016,R18,Carlton,68,-6,6.8,,,
2016,R19,Carlton,55,-19,0.2,,,
2016,R2,Carlton,71,-60,0,,,
2016,R20,Carlton,51,-71,0,,,
2016,R21,Carlton,95,-4,0,,,
2016,R22,Carlton,78,20,2,,,
2016,R23,Carlton,79,-24,0.2,,,
2016,R3,Carlton,41,-54,0,,,
2016,R4,Carlton,49,-36,0,,,
2016,R5,Carlton,72,4,0,,,
2016,R6,Carlton,72,15,9.8,,,
2016,R7,Carlton,99,15,0.6,,,
2016,R8,Carlton,93,2,0,,,
2016,R9,Carlton,46,-67,0,,,
2015,R1,Carlton,78,-27,0.4,,,
2015,R10,Carlton,90,-9,0.4,,,
2015,R12,Carlton,110,4,0,,,
2015,R13,Carlton,103,34,0,,,
2015,R14,Carlton,53,-11,1.6,,,
2015,R15,Carlton,41,-30,0,,,
2015,R16,Carlton,53,-42,0.8,,,
2015,R17,Carlton,35,-138,,,,
2015,R18,Carlton,54,-64,0.8,,,
2015,R19,Carlton,87,-18,0,,,
2015,R2,Carlton,62,-69,12.4,,,
2015,R20,Carlton,67,-64,0,,,
2015,R21,Carlton,78,23,0,,,
2015,R22,Carlton,51,-81,0,,,
2015,R23,Carlton,56,-57,0,,,
2015,R3,Carlton,84,-21,7,,,
2015,R4,Carlton,121,40,,,,
2015,R5,Carlton,45,-75,0,,,
2015,R6,Carlton,75,-9,10.6,,,
