Year,Team,Venue,Venue (2nd Name),Margin,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Brisbane Lions,S.C.G.,,-47,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Brisbane Lions,Stadium Australia,ANZ Stadium,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Brisbane Lions,Subiaco,,-63.5,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Brisbane Lions,Sydney Showground,GIANTS Stadium ,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Brisbane Lions,Traeger Park,TIO Traeger Park Oval,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Brisbane Lions,Wellington,Sky Stadium,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Brisbane Lions,York Park,UTS,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Carlton,Adelaide Oval,,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Carlton,Bellerive Oval,Blundstone Arena,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Carlton,Blacktown,,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Carlton,Carrara,Metricon Stadium,-12,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Carlton,Cazaly's Stadium,,,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
2012,Carlton,Docklands,Marvel Stadium,-8.222222222,,,Blundstone Arena,,Metricon Stadium,,Marvel Stadium,Mars Stadium,AAMI Stadium,,,GMHBA,,UNSW Canberra Oval,TIO Stadium ,Optus Stadium ,,,ANZ Stadium,,GIANTS Stadium ,TIO Traeger Park Oval,Sky Stadium,UTS
