Venue,Venue (Alternative),City Bin,Latitude,Longitude,Capacity,Length,Width ,State/Country ,Team,Margin,Margin Bin,Home
Eureka Stadium,Mars Stadium,Eureka Stadium,-37.53821,143.84903,11000,159.5,128.8,VIC,Port Adelaide,30.5,30.5,
Eureka Stadium,Mars Stadium,Eureka Stadium,-37.53821,143.84903,11000,159.5,128.8,VIC,Western Bulldogs,-3.2,-3.2,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Adelaide,13.1,,Y
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Brisbane Lions,1.0,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Carlton,-26.5,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Collingwood,-4.5,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Essendon,29.0,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Fremantle,1.7,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Geelong,-13.5,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Gold Coast,-54.0,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Greater Western Sydney,-51.0,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Hawthorn,37.0,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Melbourne,-68.0,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,North Melbourne,-5.5,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Port Adelaide,-10.0,,Y
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Richmond,25.0,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,St Kilda,-22.0,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Sydney,27.5,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,West Coast,0.0,,
Football Park,AAMI Stadium,Adelaide,-34.87949,138.49352,51240,165,133,SA,Western Bulldogs,-35.0,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Adelaide,22.0,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Brisbane Lions,-9.0,,Y
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Carlton,-9.4,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Collingwood,36.9,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Essendon,4.6,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Fremantle,18.0,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Geelong,34.5,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Gold Coast,-40.1,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Greater Western Sydney,4.2,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Hawthorn,-9.0,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,Melbourne,-14.2,,
Gabba,,Brisbane ,-27.48442,153.03518,39202,156,138,QLD,North Melbourne,13.6,,
