Year,Team,Gm,K,HB,D,M,G,GA,I50,BH,T,HO,FF,FA,CL,CG,R50,AF,SC,CP,UP,ED,DE%,CM,MI5,1%,BO,CCL,SCL,MG,TO,ITC,T50
2014,Eagles,22,206.3,149.7,355.9,89,13.6,9.2,50.8,11.2,70,49,17.4,15.2,38.7,41.4,32.1,1576.5,1645,139.4,213.7,255.2,71.7,10.2,10.4,51.1,10.2,,,,,,
2014,Giants,22,201.3,155.2,356.4,87.3,11.6,7.1,46.9,11.1,68.1,42.9,16.5,18.2,39.5,45.5,37,1532.1,1611.5,130.2,221.9,257.6,72.3,7.2,9.1,47.1,12.4,,,,,,
2014,Hawks,25,223,173.4,396.3,93.2,16.7,11.7,55.3,11.6,62.3,44.7,16.2,15.8,40.9,42.2,32,1667.5,1750.7,142.7,249.4,294.4,74.3,9.4,12.8,54.4,10.6,,,,,,
2014,Kangaroos,25,208.7,160.7,369.4,90.4,13.1,8.5,50.2,12.5,63.7,41.8,17.3,17,38,42.6,36.6,1570.5,1679.5,135.4,230.2,273.4,74,10.2,10.6,50,13.2,,,,,,
2014,Lions,22,189.2,159.4,348.6,85.5,10.1,6.8,45.5,9.3,63.9,38.2,17.4,17.9,36.7,43.9,35.5,1467.2,1547.6,125,219.8,249.6,71.6,7.4,8.4,53,7.5,,,,,,
2014,Magpies,22,201.4,148.7,350.1,85.1,11.4,7.8,49.6,11.6,71.1,35.4,14.8,16.1,34.5,46.5,34.1,1520.5,1607.7,134.8,213.2,247.1,70.6,8.7,11.9,50.1,10.1,,,,,,
2014,Power,25,209.3,163.9,373.2,90.3,14.5,10.3,56.2,13.6,69.1,42.3,16.9,17.2,40.3,46,29.6,1608,1716,142.4,227.9,265.7,71.2,10.5,13.8,51.2,15.2,,,,,,
2014,Saints,22,197,146.7,343.7,91.7,9.6,6.8,43.9,9.4,64.5,36,15.5,16.8,36.3,45.5,34.6,1484.3,1527,126.3,215.3,246.9,71.8,9.4,9.9,42.1,10.1,,,,,,
2014,Suns,22,196.7,147.6,344.3,73.1,12.6,8.6,49.7,11.3,66.8,32.9,15.6,17.4,40.1,47.5,36,1452.8,1598.7,144.3,195.4,241.3,70.1,8.8,9.9,56.9,10.6,,,,,,
2014,Swans,25,209.3,168.7,378,82.4,14,9.9,56.2,12.9,72.4,37.1,16.9,16.3,39,45.2,34.8,1601.2,1716.9,147,228.7,270.5,71.6,10.2,12.1,56.3,7.6,,,,,,
2014,Tigers,23,207,162.9,369.9,87,12.4,8.4,50.2,10.9,63.6,40.1,19,18.6,40.2,47,34.2,1547.9,1681.5,136.7,229.1,270.4,73.1,8.9,12.1,48.6,9.3,,,,,,
2015,Blues,22,193.9,148.2,342.1,83.5,9.9,6.9,44.1,9.6,56.6,40,18.3,17.6,39.5,46,36,1428.4,1541.8,130.2,211.2,247.6,72.4,9.7,9.3,44.2,8.4,13.2,25.9,4895.8,61.1,57,8.1
2015,Bombers,22,210.1,167.7,377.8,95.6,10.3,6.7,49,10.2,66.3,34.3,18.1,19.4,36.5,49,37,1581.5,1619.4,136.4,240.5,278.4,73.7,10.9,9.6,43.1,5,11.2,24.9,5407.4,69,69.3,10.2
2015,Bulldogs,23,202.3,165.9,368.2,87,14.1,8.7,54.8,11.3,68.4,37.6,17,16.8,39.4,44.1,33.7,1570.5,1660.3,139.3,228,270.6,73.5,10.1,10.9,43.5,9.2,12.6,27,5389.1,61.6,64.3,13.2
2015,Cats,21,198.8,166.1,364.9,97.1,12.9,9.3,49.8,10.5,68,34.5,16.8,19.6,34.6,46.3,33.8,1570.6,1655,131.9,233.9,271.9,74.5,13.1,13.5,39.8,5.8,12.3,22.2,5431,62.4,63.9,11.1
2015,Crows,23,212,147.6,359.6,89.7,14.4,10.7,55,12.3,60.2,43.5,16.8,16.7,40.6,49.4,34.8,1547.1,1642.3,142.7,214,252.9,70.3,11,13.4,42.9,6.4,13.8,26.9,5818,65.6,66.1,10.3
2015,Demons,22,188.4,151.2,339.7,81.1,10.2,6.5,44.5,10.2,69.6,45.9,17.9,18.6,37.9,43.7,35.2,1467.5,1585.1,135.2,203.5,246,72.4,12.6,9.6,38.2,5.7,10.6,27,5091.5,62.7,61.2,10
2015,Dockers,24,208.8,166.5,375.3,93.5,12.2,8.4,48.7,9.8,63.6,58.5,17.2,19.4,42,43.8,30.4,1593,1701.6,140.5,235.5,278.8,74.3,11.3,10.5,37.5,5.4,12.6,29.2,5341,64.2,62,12.1
2015,Eagles,25,204.6,165.2,369.8,89.6,14.9,9.9,53.9,13.4,60.5,51.8,18.4,15,39.9,40.7,28.8,1580.2,1685,140.4,227.8,270.3,73.1,11.3,13.5,44.2,6.8,12.7,27.2,5591.8,58.6,65.8,12.8
2015,Giants,22,199.3,164.6,363.9,91.8,12.2,8.6,49.3,12,67.5,40,17.2,17.8,37.6,46.2,37.1,1559.1,1660.8,127.7,233.1,268.3,73.7,10.1,11.8,42.1,16.1,10.4,27.1,5537.1,59.3,61.9,10.2
2015,Hawks,26,226.5,168.6,395.1,105.2,16.4,11.7,56.1,11.4,65.6,44.5,17.6,16.9,40.4,44.1,30.3,1713.4,1774,134.5,260.6,300.6,76.1,10.5,13.8,50.7,9.1,13,27.1,5534.1,61.1,63.1,12.6
2015,Kangaroos,25,196.8,157.2,354,86.1,13.4,9.2,50.2,11.3,65.2,48.5,20.2,18,39.2,46.1,35,1527.6,1671.9,135.7,218.1,259.8,73.4,11.7,12.8,36.6,9.8,13,26.2,5453.4,61,60.7,10.7
2015,Lions,22,195.6,157.6,353.2,89.8,10.2,6.8,44.2,9.7,62.5,46.8,18.7,20.1,40.9,48,34,1495.3,1565.3,129.1,224,254.8,72.1,8.6,10.2,42.2,5.7,12.3,28.7,4781.6,60.1,57,10.2
2015,Magpies,22,206.5,164.4,370.9,83.4,13.1,9.2,52.6,11.4,72,38.3,18.2,16.1,39,45.8,31.6,1580.9,1650.3,144.4,224.4,266.3,71.8,9.9,13,46.6,5.1,11.4,27.6,5373.1,67.3,66.6,11.4
2015,Power,22,203.9,159.3,363.2,87.5,13.4,9.3,52.6,10.2,72.1,49.9,17.8,18.4,41.8,50.1,33.2,1581.7,1674.7,138.9,223.6,262,72.1,10.6,11.7,47.6,7.4,13.1,28.4,5406,64,65.4,12.9
2015,Saints,22,205.8,157.1,362.9,96.4,10.9,7.6,50.7,11.4,69,39.2,17.9,20.8,35.1,49.1,35.3,1565.9,1622.7,132.4,231.8,266.1,73.3,10,12.1,41.5,9.1,10.6,24.4,5211.2,63.1,63.2,10.2
2015,Suns,22,192.8,130.6,323.4,76.2,10.7,7.1,45.7,10.1,65.5,35.4,19,17.4,38.8,49.4,37.8,1404.9,1511.4,136.1,183.6,223.7,69.2,9.8,9.4,49,9.9,12.8,25.9,5289.8,70.2,63.2,8.9
2015,Swans,24,208.7,182.9,391.6,92.6,12.8,8.6,53.9,11.7,72.1,43.6,17.3,19.1,38.4,48.1,34.6,1647.2,1728,139.2,251,287.1,73.3,10.3,12.1,41.7,5,11.4,27,5407.8,65.1,66.8,11.5
