Year,Team,Team 2,Margin
2013,Adelaide,West Coast,40
2013,Adelaide,Western Bulldogs,17.5
2013,Brisbane Lions,Adelaide,-19
2013,Brisbane Lions,Brisbane Lions,
2013,Brisbane Lions,Carlton,-13
2013,Brisbane Lions,Collingwood,-49
2013,Brisbane Lions,Essendon,10
2013,Brisbane Lions,Fremantle,-40
2013,Brisbane Lions,Geelong,2
2013,Brisbane Lions,Gold Coast,17.5
2013,Brisbane Lions,Greater Western Sydney,60
2013,Brisbane Lions,Hawthorn,-58
2013,Brisbane Lions,Melbourne,23.5
2013,Brisbane Lions,North Melbourne,-25.5
2013,Brisbane Lions,Port Adelaide,-9
2013,Brisbane Lions,Richmond,-23
2013,Brisbane Lions,St Kilda,31
2013,Brisbane Lions,Sydney,-60
2013,Brisbane Lions,West Coast,-26
2013,Brisbane Lions,Western Bulldogs,-30.5
2013,Carlton,Adelaide,32
2013,Carlton,Brisbane Lions,13
2013,Carlton,Carlton,
2013,Carlton,Collingwood,-29
2013,Carlton,Essendon,-5.5
2013,Carlton,Fremantle,-36
2013,Carlton,Geelong,-16
2013,Carlton,Gold Coast,43
2013,Carlton,Greater Western Sydney,94
2013,Carlton,Hawthorn,-15
2013,Carlton,Melbourne,61
2013,Carlton,North Melbourne,1
2013,Carlton,Port Adelaide,9.5
2013,Carlton,Richmond,8.3
2013,Carlton,St Kilda,13.5
2013,Carlton,Sydney,-23
2013,Carlton,West Coast,24
2013,Carlton,Western Bulldogs,-28
2013,Collingwood,Adelaide,27
2013,Collingwood,Brisbane Lions,49
2013,Collingwood,Carlton,29
2013,Collingwood,Collingwood,
2013,Collingwood,Essendon,16.5
2013,Collingwood,Fremantle,-27
2013,Collingwood,Geelong,6
2013,Collingwood,Gold Coast,-7
2013,Collingwood,Greater Western Sydney,40
2013,Collingwood,Hawthorn,-45
2013,Collingwood,Melbourne,83
2013,Collingwood,North Melbourne,2.5
2013,Collingwood,Port Adelaide,-29.5
2013,Collingwood,Richmond,34
2013,Collingwood,St Kilda,26
2013,Collingwood,Sydney,-9
2013,Collingwood,West Coast,62
2013,Collingwood,Western Bulldogs,34
2013,Essendon,Adelaide,35
2013,Essendon,Brisbane Lions,-10
2013,Essendon,Carlton,5.5
2013,Essendon,Collingwood,-16.5
2013,Essendon,Essendon,
2013,Essendon,Fremantle,4
2013,Essendon,Geelong,-28
2013,Essendon,Gold Coast,43
2013,Essendon,Greater Western Sydney,39
2013,Essendon,Hawthorn,-56
2013,Essendon,Melbourne,148
2013,Essendon,North Melbourne,-45
2013,Essendon,Port Adelaide,30
2013,Essendon,Richmond,-5
2013,Essendon,St Kilda,37
2013,Essendon,Sydney,-44
2013,Essendon,West Coast,-23
2013,Essendon,Western Bulldogs,31
2013,Fremantle,Adelaide,14.5
2013,Fremantle,Brisbane Lions,40
2013,Fremantle,Carlton,36
2013,Fremantle,Collingwood,27
2013,Fremantle,Essendon,-4
2013,Fremantle,Fremantle,
2013,Fremantle,Geelong,-13
2013,Fremantle,Gold Coast,45
2013,Fremantle,Greater Western Sydney,113
2013,Fremantle,Hawthorn,-28.5
2013,Fremantle,Melbourne,92.5
2013,Fremantle,North Melbourne,38
2013,Fremantle,Port Adelaide,74
2013,Fremantle,Richmond,-13
2013,Fremantle,St Kilda,-20.5
2013,Fremantle,Sydney,12.5
2013,Fremantle,West Coast,28
2013,Fremantle,Western Bulldogs,28
2013,Geelong,Adelaide,-2
2013,Geelong,Brisbane Lions,-2
2013,Geelong,Carlton,16
2013,Geelong,Collingwood,-6
2013,Geelong,Essendon,28
2013,Geelong,Fremantle,13
2013,Geelong,Geelong,
2013,Geelong,Gold Coast,52
2013,Geelong,Greater Western Sydney,59
2013,Geelong,Hawthorn,4
2013,Geelong,Melbourne,68
2013,Geelong,North Melbourne,-3
2013,Geelong,Port Adelaide,29.7
2013,Geelong,Richmond,44
2013,Geelong,St Kilda,101
2013,Geelong,Sydney,32.5
2013,Geelong,West Coast,66
2013,Geelong,Western Bulldogs,21
2013,Gold Coast,Adelaide,-28
2013,Gold Coast,Brisbane Lions,-17.5
2013,Gold Coast,Carlton,-43
2013,Gold Coast,Collingwood,7
2013,Gold Coast,Essendon,-43
2013,Gold Coast,Fremantle,-45
2013,Gold Coast,Geelong,-52
2013,Gold Coast,Gold Coast,
2013,Gold Coast,Greater Western Sydney,63.5
2013,Gold Coast,Hawthorn,-26
2013,Gold Coast,Melbourne,36.5
2013,Gold Coast,North Melbourne,15
2013,Gold Coast,Port Adelaide,-27.5
2013,Gold Coast,Richmond,-9
2013,Gold Coast,St Kilda,-16.5
2013,Gold Coast,Sydney,-41
2013,Gold Coast,West Coast,-17
2013,Gold Coast,Western Bulldogs,32
2013,Greater Western Sydney,Adelaide,-135
2013,Greater Western Sydney,Brisbane Lions,-60
2013,Greater Western Sydney,Carlton,-94
2013,Greater Western Sydney,Collingwood,-40
2013,Greater Western Sydney,Essendon,-39
2013,Greater Western Sydney,Fremantle,-113
2013,Greater Western Sydney,Geelong,-59
2013,Greater Western Sydney,Gold Coast,-63.5
2013,Greater Western Sydney,Greater Western Sydney,
2013,Greater Western Sydney,Hawthorn,-83
2013,Greater Western Sydney,Melbourne,-2
2013,Greater Western Sydney,North Melbourne,-86
2013,Greater Western Sydney,Port Adelaide,-65.5
2013,Greater Western Sydney,Richmond,-121
2013,Greater Western Sydney,St Kilda,-72
2013,Greater Western Sydney,Sydney,-79.5
2013,Greater Western Sydney,West Coast,-100
2013,Greater Western Sydney,Western Bulldogs,-4
2013,Hawthorn,Adelaide,11
2013,Hawthorn,Brisbane Lions,58
2013,Hawthorn,Carlton,15
2013,Hawthorn,Collingwood,45
2013,Hawthorn,Essendon,56
2013,Hawthorn,Fremantle,28.5
2013,Hawthorn,Geelong,-4
2013,Hawthorn,Gold Coast,26
2013,Hawthorn,Greater Western Sydney,83
2013,Hawthorn,Hawthorn,
2013,Hawthorn,Melbourne,95
2013,Hawthorn,North Melbourne,8.5
2013,Hawthorn,Port Adelaide,45
2013,Hawthorn,Richmond,-41
2013,Hawthorn,St Kilda,46
2013,Hawthorn,Sydney,34.3
2013,Hawthorn,West Coast,35
