,,,,,,,,,,,max,100,,,,Rainfall Bins,0,1,10,15,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Round,Team,Score,Margin,WinLoss,Opposition,Day,Date,Start Time,Venue,Attendance,Rainfall(mm),,Year,,Rainfall,None,Light,Medium,Heavy,,,,Team,Adelaide,Brisbane Lions,Carlton,Collingwood,Essendon,Fremantle,Geelong,Gold Coast,Greater Western Sydney,Hawthorn,Melbourne,North Melbourne,Port Adelaide,Richmond,St Kilda,Sydney,West Coast,Western Bulldogs,,Venue,Adelaide Oval,Bellerive Oval,Blacktown,Carrara,Cazaly's Stadium,Docklands,Eureka Stadium,Football Park,Gabba,Jiangwan Stadium,Kardinia Park,M.C.G.,Manuka Oval,Marrara Oval,Perth Stadium,Riverway Stadium,S.C.G.,Stadium Australia,Subiaco,Sydney Showground,Traeger Park,Wellington,York Park
2012,R14,Brisbane Lions,122,61,W,Melbourne,Sun,1-Jul-12,3:15 PM,Gabba,"22,144",0,,,,Fremantle,26.5,20.4,-27.0,14.5,,,,Fremantle,14.5,40.0,36.0,27.0,-4.0,,-13.0,45.0,113.0,-28.5,92.5,38.0,74.0,-13.0,-20.5,12.5,28.0,28.0,,Fremantle,,,,45.0,,-2.3,,7.0,,,-13.0,17.7,,,,,0.0,,39.4,,,,-42.0
2012,R17,Brisbane Lions,59,11,W,Gold Coast,Sat,21-Jul-12,4:40 PM,Carrara,"16,550",0,,,,Geelong,25.4,20.7,,52.0,,,,Geelong,-2.0,-2.0,16.0,-6.0,28.0,13.0,,52.0,59.0,4.0,68.0,-3.0,29.7,44.0,101.0,32.5,66.0,21.0,,Geelong,,,,,,11.8,,23.0,-5.0,,39.6,11.0,,,,,21.0,,66.0,59.0,,,
2012,R18,Brisbane Lions,77,-98,L,West Coast,Sun,29-Jul-12,2:40 PM,Subiaco,"35,767",0,,,,Gold Coast,-2.1,-13.0,-34.5,-15.7,,,,Gold Coast,-28.0,-17.5,-43.0,7.0,-43.0,-45.0,-52.0,,63.5,-26.0,36.5,15.0,-27.5,-9.0,-16.5,-41.0,-17.0,32.0,,Gold Coast,,,,0.6,-9.0,-44.5,,-17.0,-33.0,,-52.0,17.0,44.0,,,,-41.0,,-17.0,,,,
2012,R19,Brisbane Lions,84,-48,L,Richmond,Sat,4-Aug-12,7:40 PM,Gabba,"22,193",0,,,,Greater Western Sydney,-63.6,-72.8,,-94.0,,,,Greater Western Sydney,-135.0,-60.0,-94.0,-40.0,-39.0,-113.0,-59.0,-63.5,,-83.0,-2.0,-86.0,-65.5,-121.0,-72.0,-79.5,-100.0,-4.0,,Greater Western Sydney,,,,-83.0,,-73.0,,-56.0,-60.0,,,-40.5,-40.0,,,,-129.0,-30.0,-113.0,-70.3,,,-83.0
2012,R2,Brisbane Lions,63,-91,L,Carlton,Thu,5-Apr-12,7:40 PM,Gabba,"25,913",0,,,,Hawthorn,28.5,31.4,15.0,45.0,,,,Hawthorn,11.0,58.0,15.0,45.0,56.0,28.5,-4.0,26.0,83.0,,95.0,8.5,45.0,-41.0,46.0,34.3,35.0,19.0,,Hawthorn,,,,,,30.2,,28.0,,,,22.3,,,,,,12.0,50.0,,,,50.5
2012,R21,Brisbane Lions,95,10,W,Adelaide,Sat,18-Aug-12,7:40 PM,Gabba,"18,979",0,,,,Melbourne,-53.5,-68.3,,,,,,Melbourne,-68.0,-23.5,-61.0,-83.0,-148.0,-92.5,-68.0,-36.5,2.0,-95.0,,-122.0,-79.0,-34.0,-35.0,-31.0,-94.0,-8.5,,Melbourne,,,,-13.0,,-71.0,,-68.0,-28.0,,-68.0,-59.3,,-19.0,,,,,-90.0,-37.0,,,
2012,R23,Brisbane Lions,128,67,W,Western Bulldogs,Sun,2-Sep-12,4:40 PM,Gabba,"18,289",0,,,,North Melbourne,18.7,11.8,,,,,,North Melbourne,-5.0,25.5,-1.0,-2.5,45.0,-38.0,3.0,-15.0,86.0,-8.5,122.0,,10.0,62.0,68.0,-39.0,-2.0,54.0,,North Melbourne,,-14.5,,-15.0,,36.5,,-9.0,-12.0,,,4.0,,,,,,,-20.0,,,,
2012,R3,Brisbane Lions,35,-29,L,Fremantle,Sat,14-Apr-12,2:40 PM,Subiaco,"33,473",0,,,,Port Adelaide,4.3,2.7,5.0,-13.5,,,,Port Adelaide,6.5,9.0,-9.5,29.5,-30.0,-74.0,-29.7,27.5,65.5,-45.0,79.0,-10.0,,-41.0,5.0,18.0,5.0,-9.0,,Port Adelaide,,-10.0,,38.0,,-14.3,,1.5,,,-25.0,29.0,,-9.0,,,,,-74.0,75.0,,,
2012,R4,Brisbane Lions,111,65,W,Gold Coast,Sat,21-Apr-12,7:40 PM,Gabba,"21,980",0,,,,Richmond,17.8,11.3,27.0,5.0,,,,Richmond,38.0,23.0,-8.3,-34.0,5.0,13.0,-44.0,9.0,121.0,41.0,34.0,-62.0,41.0,,40.5,-47.0,41.0,63.5,,Richmond,,,,,9.0,21.7,,41.0,,,,10.8,,,,,-47.0,,20.0,121.0,,,
2012,R6,Brisbane Lions,62,-67,L,Essendon,Sat,5-May-12,1:40 PM,Docklands,"36,361",0,,,,St Kilda,-17.4,-14.3,-5.0,,,,,St Kilda,-40.0,-31.0,-13.5,-26.0,-37.0,20.5,-101.0,16.5,72.0,-46.0,35.0,-68.0,-5.0,-40.5,,-37.5,-4.0,-9.0,,St Kilda,,,,-13.0,,-9.5,,-40.0,-31.0,,-101.0,-15.3,72.0,,,,-59.0,,-30.0,,,-16.0,
