Year,Team 1,Team 1 Label,Team 2,Team 2 Label,Margin
2012,Richmond,RIC,Port Adelaide,POR,18.5
2012,Richmond,RIC,Richmond,RIC,
2012,Richmond,RIC,St Kilda,STK,8
2012,Richmond,RIC,Sydney,SYD,29
2012,Richmond,RIC,West Coast,WCE,-10
2012,Richmond,RIC,Western Bulldogs,WBD,70
2012,St Kilda,STK,Adelaide,ADE,-4
2012,St Kilda,STK,Brisbane Lions,BRI,13
2012,St Kilda,STK,Carlton,CAR,19.5
2012,St Kilda,STK,Collingwood,COL,-6
2012,St Kilda,STK,Essendon,ESS,71
2012,St Kilda,STK,Fremantle,FRE,-13
2012,St Kilda,STK,Geelong,GEE,-42
2012,St Kilda,STK,Gold Coast,GCS,93.5
2012,St Kilda,STK,Greater Western Sydney,GWS,128
2012,St Kilda,STK,Hawthorn,HAW,-35
2012,St Kilda,STK,Melbourne,MEL,21.5
2012,St Kilda,STK,North Melbourne,NOR,-33
2012,St Kilda,STK,Port Adelaide,POR,-4
2012,St Kilda,STK,Richmond,RIC,-8
2012,St Kilda,STK,St Kilda,STK,
2012,St Kilda,STK,Sydney,SYD,-0.5
2012,St Kilda,STK,West Coast,WCE,-30
2012,St Kilda,STK,Western Bulldogs,WBD,69.5
2012,Sydney,SYD,Adelaide,ADE,12
2012,Sydney,SYD,Brisbane Lions,BRI,47
2012,Sydney,SYD,Carlton,CAR,22
2012,Sydney,SYD,Collingwood,COL,9
2012,Sydney,SYD,Essendon,ESS,4
2012,Sydney,SYD,Fremantle,FRE,13
2012,Sydney,SYD,Geelong,GEE,-14
2012,Sydney,SYD,Gold Coast,GCS,72
2012,Sydney,SYD,Greater Western Sydney,GWS,78.5
2012,Sydney,SYD,Hawthorn,HAW,13.3
2012,Sydney,SYD,Melbourne,MEL,101
2012,Sydney,SYD,North Melbourne,NOR,36
2012,Sydney,SYD,Port Adelaide,POR,22
2012,Sydney,SYD,Richmond,RIC,-29
2012,Sydney,SYD,St Kilda,STK,0.5
2012,Sydney,SYD,Sydney,SYD,
2012,Sydney,SYD,West Coast,WCE,52
2012,Sydney,SYD,Western Bulldogs,WBD,87
2012,West Coast,WCE,Adelaide,ADE,-49
2012,West Coast,WCE,Brisbane Lions,BRI,48
2012,West Coast,WCE,Carlton,CAR,10
2012,West Coast,WCE,Collingwood,COL,11
2012,West Coast,WCE,Essendon,ESS,-61
2012,West Coast,WCE,Fremantle,FRE,-8.5
2012,West Coast,WCE,Geelong,GEE,5
2012,West Coast,WCE,Gold Coast,GCS,126
2012,West Coast,WCE,Greater Western Sydney,GWS,81
2012,West Coast,WCE,Hawthorn,HAW,-10
2012,West Coast,WCE,Melbourne,MEL,108
2012,West Coast,WCE,North Melbourne,NOR,41
2012,West Coast,WCE,Port Adelaide,POR,48
2012,West Coast,WCE,Richmond,RIC,10
2012,West Coast,WCE,St Kilda,STK,30
2012,West Coast,WCE,Sydney,SYD,-52
2012,West Coast,WCE,West Coast,WCE,
2012,West Coast,WCE,Western Bulldogs,WBD,49
2012,Western Bulldogs,WBD,Adelaide,ADE,-18
2012,Western Bulldogs,WBD,Brisbane Lions,BRI,-62.5
2012,Western Bulldogs,WBD,Carlton,CAR,-18
2012,Western Bulldogs,WBD,Collingwood,COL,-21
2012,Western Bulldogs,WBD,Essendon,ESS,-84
2012,Western Bulldogs,WBD,Fremantle,FRE,-38
2012,Western Bulldogs,WBD,Geelong,GEE,-27
2012,Western Bulldogs,WBD,Gold Coast,GCS,38
2012,Western Bulldogs,WBD,Greater Western Sydney,GWS,42
2012,Western Bulldogs,WBD,Hawthorn,HAW,-72
2012,Western Bulldogs,WBD,Melbourne,MEL,21
2012,Western Bulldogs,WBD,North Melbourne,NOR,-18
2012,Western Bulldogs,WBD,Port Adelaide,POR,38
2012,Western Bulldogs,WBD,Richmond,RIC,-70
2012,Western Bulldogs,WBD,St Kilda,STK,-69.5
2012,Western Bulldogs,WBD,Sydney,SYD,-87
2012,Western Bulldogs,WBD,West Coast,WCE,-49
2012,Western Bulldogs,WBD,Western Bulldogs,WBD,
2013,Adelaide,ADE,Adelaide,ADE,
2013,Adelaide,ADE,Brisbane Lions,BRI,19
2013,Adelaide,ADE,Carlton,CAR,-32
2013,Adelaide,ADE,Collingwood,COL,-27
2013,Adelaide,ADE,Essendon,ESS,-35
2013,Adelaide,ADE,Fremantle,FRE,-14.5
2013,Adelaide,ADE,Geelong,GEE,2
2013,Adelaide,ADE,Gold Coast,GCS,28
2013,Adelaide,ADE,Greater Western Sydney,GWS,135
2013,Adelaide,ADE,Hawthorn,HAW,-11
2013,Adelaide,ADE,Melbourne,MEL,68
2013,Adelaide,ADE,North Melbourne,NOR,5
2013,Adelaide,ADE,Port Adelaide,POR,-6.5
2013,Adelaide,ADE,Richmond,RIC,-38
2013,Adelaide,ADE,St Kilda,STK,40
2013,Adelaide,ADE,Sydney,SYD,-77
2013,Adelaide,ADE,West Coast,WCE,40
2013,Adelaide,ADE,Western Bulldogs,WBD,17.5
2013,Brisbane Lions,BRI,Adelaide,ADE,-19
2013,Brisbane Lions,BRI,Brisbane Lions,BRI,
2013,Brisbane Lions,BRI,Carlton,CAR,-13
2013,Brisbane Lions,BRI,Collingwood,COL,-49
2013,Brisbane Lions,BRI,Essendon,ESS,10
2013,Brisbane Lions,BRI,Fremantle,FRE,-40
2013,Brisbane Lions,BRI,Geelong,GEE,2
2013,Brisbane Lions,BRI,Gold Coast,GCS,17.5
2013,Brisbane Lions,BRI,Greater Western Sydney,GWS,60
2013,Brisbane Lions,BRI,Hawthorn,HAW,-58
2013,Brisbane Lions,BRI,Melbourne,MEL,23.5
2013,Brisbane Lions,BRI,North Melbourne,NOR,-25.5
2013,Brisbane Lions,BRI,Port Adelaide,POR,-9
2013,Brisbane Lions,BRI,Richmond,RIC,-23
2013,Brisbane Lions,BRI,St Kilda,STK,31
2013,Brisbane Lions,BRI,Sydney,SYD,-60
2013,Brisbane Lions,BRI,West Coast,WCE,-26
2013,Brisbane Lions,BRI,Western Bulldogs,WBD,-30.5
2013,Carlton,CAR,Adelaide,ADE,32
2013,Carlton,CAR,Brisbane Lions,BRI,13
2013,Carlton,CAR,Carlton,CAR,
2013,Carlton,CAR,Collingwood,COL,-29
2013,Carlton,CAR,Essendon,ESS,-5.5
2013,Carlton,CAR,Fremantle,FRE,-36
2013,Carlton,CAR,Geelong,GEE,-16
2013,Carlton,CAR,Gold Coast,GCS,43
2013,Carlton,CAR,Greater Western Sydney,GWS,94
2013,Carlton,CAR,Hawthorn,HAW,-15
2013,Carlton,CAR,Melbourne,MEL,61
2013,Carlton,CAR,North Melbourne,NOR,1
2013,Carlton,CAR,Port Adelaide,POR,9.5
2013,Carlton,CAR,Richmond,RIC,8.3
2013,Carlton,CAR,St Kilda,STK,13.5
2013,Carlton,CAR,Sydney,SYD,-23
2013,Carlton,CAR,West Coast,WCE,24
2013,Carlton,CAR,Western Bulldogs,WBD,-28
2013,Collingwood,COL,Adelaide,ADE,27
2013,Collingwood,COL,Brisbane Lions,BRI,49
2013,Collingwood,COL,Carlton,CAR,29
2013,Collingwood,COL,Collingwood,COL,
2013,Collingwood,COL,Essendon,ESS,16.5
2013,Collingwood,COL,Fremantle,FRE,-27
2013,Collingwood,COL,Geelong,GEE,6
2013,Collingwood,COL,Gold Coast,GCS,-7
2013,Collingwood,COL,Greater Western Sydney,GWS,40
2013,Collingwood,COL,Hawthorn,HAW,-45
2013,Collingwood,COL,Melbourne,MEL,83
2013,Collingwood,COL,North Melbourne,NOR,2.5
2013,Collingwood,COL,Port Adelaide,POR,-29.5
2013,Collingwood,COL,Richmond,RIC,34
2013,Collingwood,COL,St Kilda,STK,26
2013,Collingwood,COL,Sydney,SYD,-9
2013,Collingwood,COL,West Coast,WCE,62
2013,Collingwood,COL,Western Bulldogs,WBD,34
2013,Essendon,ESS,Adelaide,ADE,35
2013,Essendon,ESS,Brisbane Lions,BRI,-10
2013,Essendon,ESS,Carlton,CAR,5.5
2013,Essendon,ESS,Collingwood,COL,-16.5
2013,Essendon,ESS,Essendon,ESS,
